order_code,product_code,type,material,composition,width,length,height,not_before,not_after,quantity
R0001,N020,lenti,MS,0%,1225,1420,2.0,2019-07-03,2019-08-14,5000
R0002,N018,lenti,MS,0%,1020,1130,2.0,2019-07-05,2019-08-16,8000
R0003,N020,lenti,MS,0%,1225,1420,2.0,2019-08-23,2019-10-04,14000
R0004,N049,lenti,MS,0%,1090,1260,2.0,2019-08-29,2019-10-10,18000
R0005,N018,lenti,MS,0%,1020,1130,2.0,2019-09-01,2019-10-13,9000
R0006,N020,lenti,MS,0%,1225,1420,2.0,2019-09-04,2019-10-16,8000
R0007,N049,lenti,MS,0%,1090,1260,2.0,2019-10-27,2019-12-08,61000
R0008,N018,lenti,MS,0%,1020,1130,2.0,2019-10-29,2019-12-10,5000
R0009,N020,lenti,MS,0%,1225,1420,2.0,2019-10-29,2019-12-10,2000
R0010,N035,lenti,MS,0%,1120,1280,2.0,2019-10-31,2019-12-12,3000
R0011,N049,lenti,MS,0%,1090,1260,2.0,2019-11-12,2019-12-24,38000
R0012,N044,lenti,MS,0%,1240,1400,2.0,2019-11-16,2019-12-28,3000
R0013,N020,lenti,MS,0%,1225,1420,2.0,2019-11-19,2019-12-31,14000
R0014,N049,lenti,MS,0%,1090,1260,2.0,2019-11-19,2019-12-31,22000
R0015,K021,lenti,PMMA,8%,1438,812,2.5,2019-07-01,2019-08-12,1000
R0016,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-01,2019-08-12,18000
R0017,K021,lenti,PMMA,8%,1438,812,2.5,2019-07-01,2019-08-12,45000
R0018,N045,plate,PMMA,8%,1490,1735,2.0,2019-07-01,2019-08-12,12000
R0019,N011,plate,PMMA,8%,1465,1635,2.0,2019-07-02,2019-08-13,6000
R0020,K021,lenti,PMMA,8%,1438,812,2.5,2019-07-19,2019-08-30,42000
R0021,K023,lenti,PMMA,8%,1220,1381,2.5,2019-07-25,2019-09-05,18000
R0022,N045,plate,PMMA,8%,1490,1735,2.0,2019-08-01,2019-09-12,6000
R0023,N011,plate,PMMA,8%,1465,1635,2.0,2019-08-02,2019-09-13,3000
R0024,N006,plate,PMMA,8%,1486,1168,2.0,2019-08-03,2019-09-14,2000
R0025,N026,plate,PMMA,8%,1180,1115,2.0,2019-08-04,2019-09-15,3000
R0026,N040,plate,PMMA,100%,1220,2440,1.5,2019-08-05,2019-09-16,3000
R0027,N014,plate,PMMA,8%,1183,1039,2.0,2019-08-06,2019-09-17,3000
R0028,N013,plate,PMMA,8%,1262,1610,2.0,2019-08-07,2019-09-18,3000
R0029,K021,lenti,PMMA,8%,1438,812,2.5,2019-08-22,2019-10-03,26000
R0030,K037,lenti,PMMA,8%,1106,1253,2.5,2019-08-24,2019-10-05,6000
R0031,K021,lenti,PMMA,8%,1438,812,2.5,2019-08-28,2019-10-09,14000
R0032,N017,lenti,PMMA,8%,1445,1250,2.0,2019-09-02,2019-10-14,6000
R0033,N039,plate,PMMA,100%,1300,2500,1.5,2019-09-06,2019-10-18,3000
R0034,N040,plate,PMMA,100%,1220,2440,1.5,2019-09-06,2019-10-18,2000
R0035,N027,plate,PMMA,8%,1520,1292,2.0,2019-09-09,2019-10-21,7000
R0036,N030,plate,PMMA,8%,1155,1325,2.0,2019-09-11,2019-10-23,8000
R0037,N012,plate,PMMA,8%,1160,1160,4.0,2019-09-18,2019-10-30,15000
